character,jp_dialogue,en_dialogue,route,act,game
"
","　　The deserted shrine on a summer day.
　　The sun had come back from its vacation,
　　and the shrine was enjoying long absent sunny days.

　　With no humans in sight, one could hear only the cicadas...
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""Ahh, it sure is much hotter today...
<c$$12345678""> I won't be able to get any work done!""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""...Then again, it's not like there's
<c$$12345678""> any work to do with nobody around.""
",,Reimu,Endings,Th06
"
","<c$???:$12345678> ""If you're feeling hot and bored,
<c$$12345678""> let's tell each other ghost stories!""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""Ehh, that's pointless if I'm alone.
",,Reimu,Endings,Th06
"
","<c$???:$12345678> ""Yep, you're alone.""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""Clearly not!!""
",,Reimu,Endings,Th06
"
","<c$Remilia:$12345678> ""That aside, this sure is one shoddy shrine.""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""Shut it. This is how shrines are supposed to look.""
",,Reimu,Endings,Th06
"
","<c$Remilia:$12345678> ""It's well-suited for ghost stories, no?
<c$$12345678""> It'll cool you off.""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""Why would I want to do something as dumb as
<c$$12345678""> listen to ghost stories told by a monster in broad daylight?""
",,Reimu,Endings,Th06
"
","<c$Remilia:$12345678> ""We can wait until night, if it's of any help.""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""Let's not.""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""...So?""
",,Reimu,Endings,Th06
"
","<c$Remilia:$12345678> ""Hm?""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""What's the story about?""
",,Reimu,Endings,Th06
"
","<c$Remilia:$12345678> ""Well... Once upon a time, there was
<c$$12345678""> a girl who lived for over 500 years...""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""And? Who was she?""
",,Reimu,Endings,Th06
"
","<c$Remilia:$12345678> ""Me.""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""...Don't drink my blood, alright?""
",,Reimu,Endings,Th06
"
","　　Peace was working to envelop the illusory summer.
　　Slowly but steadily, like moss covering the rocks by the riverside...
",,Reimu,Endings,Th06
"
","　　Ending No. 4
",,Reimu,Endings,Th06
"
","　　The deserted shrine on a summer day.
　　A shrine still lacking the sun's brilliance.
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""I've had enough...
<c$$12345678""> Will the mist not go away if I don't beat the culprit?""
",,Reimu,Endings,Th06
"
","<c$Reimu:$12345678> ""Why's it so cold, anyway?""
",,Reimu,Endings,Th06
"
","　　Will the mist really disappear once she's taken down?
　　The scarlet summer of the ill-trained continued on.
",,Reimu,Endings,Th06
"
","　　Bad Ending No. 1
　　Aim for a No Continue Clear on Normal or higher!
",,Reimu,Endings,Th06
"
","　　Gensokyo in the summer.
　　The sun had come back from its vacation,
　　wiping away all of the mist in the air. 

　　Thus, it shamelessly brought the Scarlet Devil Mansion and its few windows to light...
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Ah, sheesh. It's so hot, and there's so much work...
<c$$12345678""> This is why having the mist around was nice.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Ah, it's almost snack time...
<c$$12345678""> Well, I can prepare it immediately if I stop time.""
",,Marisa,Endings,Th06
"
","<c$???:$12345678> ""You done yet?""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Yes, mistress, I'll be right there.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Sorry to keep you waiting.""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""Thanks.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Today, we've got a rare tea from the Kandy region.""(キャンディー is most likely ""Kandy"" rather than ""candy"" in this context.)
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""Way too red for my tastes.""(Black tea is called ""red tea"" in Japanese (紅茶), as well as Chinese.)
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Not only that, the cake has some rare ingredients, too.""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""...What'd ya put in there? (^^;""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Bamboo flowers, and such.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""They normally bloom once every 60 years,
<c$$12345678""> but I can manipulate time to make them bloom immediately.""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""Does that make it any tastier?""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""It makes it a rarity.""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""Hey, what's with you acting as if you own the place?
<c$$12345678""> And why are you eating my snack?!""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""'Cause it's yours.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Ah, I prepared some for you too, mistress.""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""What's on the menu today?""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""A rarity.""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""Yay, it's my favorite!""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""Well, ain't you a picky eater. (sweat)""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""...Anyway, it sure is hot out today, huh?""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""Oh, look who's talking. The mist made it cooler,
<c$$12345678""> but you made me get rid of it!""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""...Felt like a good idea back then.""
",,Marisa,Endings,Th06
"
","　　Today, too, the summer-colored fantasy brought time to a peaceful halt.
　　One can only wonder if its flow will ever resume.
",,Marisa,Endings,Th06
"
","　　Ending No. 5
",,Marisa,Endings,Th06
"
","　　Gensokyo in the summer.
　　The sun had come back from its vacation,
　　wiping away all of the mist in the air. 

　　Thus, it shamelessly brought the Scarlet Devil Mansion and its few windows to light...
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""...""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> "".....""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""Hmm...""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""...Well, this might be pretty interestin'.
<c$$12345678""> I don't get a lot of it, though, 'cause it's in Esperanto.""
",,Marisa,Endings,Th06
"
","<c$???:$12345678> ""What, you're here again?""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""I ain't.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Don't come in here to read without permission.
<c$$12345678""> That counts as trespassing.""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""I come here all the time, so why don't you just
<c$$12345678""> go ahead and serve me some gross tea?""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""We only have good tea, I'm afraid.""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""And besides, books are meant to be read, right?""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Can you even read that one?""
",,Marisa,Endings,Th06
"
","<c$???:$12345678> ""Heeey, Sakuya? Where are you?""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Ah, the mistress is calling.
<c$$12345678""> Hide for a moment.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""I'm right here, mistress!""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""Oh, there you are. Are you cleaning?""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Yes, of course.""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""I'm going out for a bit. Please take care of the mansion while I'm gone.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Make sure to take your parasol with you.
<c$$12345678""> It's really sunny today.""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""Of course. I'd be risking my life otherwise.""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""That aside, the library really smells of rats.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Ah, don't worry about that.
<c$$12345678""> Certainly, it might smell like dead rats,

<c$$12345678""> but I assure you there are no dead rats here.""
",,Marisa,Endings,Th06
"
","<c$Remilia:$12345678> ""Well, clean it up either way. Bye.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Take care, mistress.""
",,Marisa,Endings,Th06
"
","<c$Sakuya:$12345678> ""Now then, there's a live rat to take care of.""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""You talkin' about me?""
",,Marisa,Endings,Th06
"
","　　The fantastic mansion showed no changes.
　　And yet, the summer breeze seemed like it wanted to make some.
",,Marisa,Endings,Th06
"
","　　Ending No. 6
",,Marisa,Endings,Th06
"
","　　Inside the gloomy forest.
　　A forest to which the sun had not yet returned.
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""Dammit, talk about frustratin'...
<c$$12345678""> It's really not like me to lose to such a small fry...""
",,Marisa,Endings,Th06
"
","<c$Marisa:$12345678> ""Man, I really wanted to try saying something like that.""
",,Marisa,Endings,Th06
"
","　　A dark summer. It seems like these sunless days will continue on for a while.
",,Marisa,Endings,Th06
"
","　　Bad Ending No. 2
　　Aim for a No Continue Clear on Normal or higher!
",,Marisa,Endings,Th06
"
","
夢幻夜行絵巻　～ Mystic Flier

","
Fantastic Night Parade Scroll ~ Mystic Flier

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: ほおずきみたいに紅い魂

","
BGM: A Soul as Scarlet as a Ground Cherry

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
久々のお仕事だわ。[1]

","
It's been a while since my last job.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
気持ちいいわね
毎回、昼間に出発して悪霊が少ない
から、夜に出てみたんだけど．．．
どこに行っていいかわからないわ
暗くて
でも．．．
夜の境内裏はロマンティックね
（←のんき）

","
It sure feels great out.
There aren't many evil spirits about
during the day, so I'm trying my luck at night...
But it's dark out, and
I'm not sure where to go.
Still...
It's so romantic out behind the shrine at night.
(← carefree)

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Rumia ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
???

","
そうなのよね～
お化けも出るし、たまんないわ

","
You said it!
Monsters come out too, so it's simply wonderful.[2]

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
って、
あんた誰？

","
Um,
who are you?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
宵闇の妖怪
ルーミア

","
The Youkai of the Dusk

Rumia

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Rumia

","
さっき会ったじゃない
あんた、もしかして鳥目？

","
We just meet a few moments ago.
Could you be night-blind?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
人は暗いところでは物が
良く見えないのよ

","
Humans can't see very well
in the dark in the first place.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Rumia

","
あら？夜しか活動しない人も
見たことある気がするわ

","
Oh? I feel like I've seen people
who only work at night.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
それは取って食べたりしても
いいのよ

","
I have no problem with you

grabbing them and eating them for dinner.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Rumia

","
そーなのかー

","
Ohhhh...Is that soooo...

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
で、邪魔なんですけど

","
You know, you're in my way.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: 妖魔夜行

","
BGM: Apparitions Stalk the Night

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Rumia

","
目の前が取って食べれる人類？

","
Is the person in front of me the edible kind?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
良薬は口に苦し
って言葉知ってる？

","
Have you ever heard the saying
""good medicine tastes bad""?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Rumia DEFEATED

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
良薬っていっても
飲んでみなけりゃわかんないけどね

","
Of course, you wouldn't know if it's good medicine or not
unless you drank it for yourself.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
湖上の魔精　～ Water Magus

","
Nixie on the Lake ~ Water Magus

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: ルーネイトエルフ

","
BGM: Lunate Elf

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Daiyousei ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Daiyousei DEFEATED

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
この湖こんなに広かったかしら？
霧で見通しが悪くて困ったわ。
もしかして私って方向音痴？

","
Was this lake always this big?
This mist is annoying. I can't see through it.
Maybe I just have a bad sense of direction?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Cirno ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: おてんば恋娘

","
BGM: Tomboyish Girl in Love

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
湖上の氷精
チルノ

","
Ice Fairy of the Lake
Cirno

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Cirno

","
道に迷うは、妖精の所為なの

","
When you lose your way, it's because of the fairies.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
あらそう？、じゃ、案内して？
ここら辺に島があったでしょ？

","
Oh, really? Could you show me the way, then?
There was an island around here, right?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Cirno

","
あんた、ちったぁ驚きなさいよ
目の前に強敵がいるのよ？

","
Hey, be a bit more surprised.
Can't you see I'm your attacker?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
標的？
こいつはびっくりだぁね

","
You're a target?
Now that is a surprise. [3]

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Cirno

","
ふざけやがって～
あんたなんて、英吉利牛と一緒に
冷凍保存してやるわ！！

","
Quit teasing me!
I'll deep-freeze you with some
English beef!!

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Cirno DEFEATED

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
ああ、冷えてきたわ
冷房病になっちゃうわ

","
Ah, it's gotten chilly out.
I'll catch an air conditioner cold at this rate.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
紅色の境　～ Scarlet Land

","
Scarlet Border ~ Scarlet Land

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: 上海紅茶館　～ Chinese Tea

","
BGM: Shanghai Scarlet Teahouse ~ Chinese Tea

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Hong Meiling ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
???

","
くそ、背水の陣だ[4]

","
Damn. Time for my last stand combat formation!

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
あんた一人で「陣」なのか？

","
You're going to set up a formation all by yourself?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Hong Meiling LEAVES

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Hong Meiling ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
???

","
ついてくるなよ～

","
Stop following meeee.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
道案内ありがと～

","
Thanks for showing me the wayyyy.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
華人小娘
紅 美鈴

","
Chinese Girl
Hong Meiling

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Meiling

","
あら、私について来ても
こっちには何もなくてよ？

","
You know, you can follow me all you want,
but there's nothing over there.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
何もないところに逃げないでしょ？

","
You wouldn't flee to the middle of nowhere, right?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Meiling

","
うーん、逃げるときは逃げる
と思うけどなぁ

","
Well, if I was running away,
I probably wouldn't be picky about where.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
ちなみに、あなた、何者？

","
By the way, who are you?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Meiling

","
えー、普通の人よ

","
Er, just a normal person.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
さっき攻撃仕掛けてきたでしょ？

","
But didn't you attack me before?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Meiling

","
それは、普通に攻撃したの
でも、あんたが先に攻撃したのよ
あんたが、普通以外なのよ

","
I attacked normally.
But you attacked me first.
You're the one who's abnormal.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
私は巫女をしている普通の人よ

","
I'm just a normal person who works as a shrine maiden.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Meiling

","
それはよかった
たしか．．．

","
That's good to hear.
If I remember correctly...

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: 明治十七年の上海アリス

","
BGM: Shanghai Alice of Meiji 17[5]

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Meiling

","
巫女は食べてもいい人類だって
言い伝えが．．．

","
...they say that shrine maidens
are the kind of human it's okay to eat...

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
言い伝えるな！

","
Don't spread sayings like that!

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Hong Meiling DEFEATED

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
If playing the demo

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
さぁて、道案内してもらいますよ

","
Well then, I'll have you show me the way.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Meiling

","
これ以上先は、無いの
体験版だから

","
There's no more past this.
Since this is the demo.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
まぁ、仕方ないわね

","
Oh well, that's too bad.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
If playing the full version

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
さぁて、道案内してもらいますよ

","
Well then, I'll have you show me the way.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Meiling

","
済みません、お嬢様～

","
I'm so sorry, mistress...[6]

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
暗闇の館　～ Save the mind.

","
Mansion of Darkness ~ Save the Mind

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: ヴワル魔法図書館

","
BGM: Voile, the Magic Library

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Koakuma ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Koakuma DEFEATED

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
この家には窓が無いのかしら？
それに外から見たとき
こんなに広かったっけ？

","
Aren't there any windows in this house?
And did it even look this big
from the outside?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Patchouli Knowledge ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: ラクトガール　～ 少女密室

","
BGM: Locked Girl ~ The Girl's Sealed Room

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
???

","
そこの紅白！
私の書斎で暴れない

","
You, the red-white one!
There is no rampaging around in my study.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
書斎？（紅白？）

","
Study? (Red-white?)

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
知識と日陰の少女
パチュリー・ノーレッジ

","
The Girl of Knowledge and Shade
Patchouli Knowledge

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Patchouli

","
これらの本はあなたの神社の
５年分の賽銭程度の価値があるわ

","
The books here are worth all the donations
your shrine has received in the past five years.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
うちは年中無休で参拝客が無いわよ

","
My shrine gets no visitors all year round.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Patchouli

","
まぁその程度の価値しか無いんだよ

","
Oh. Then I suppose they're not worth much.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
それにしてもこんな暗い部屋で
本なんか読めるのか？

","
Anyway, can you actually read
in such a dark room?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Patchouli

","
私はあなたみたいに鳥目
じゃないわ

","
Unlike you,
I'm not night-blind.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
だから～、私は鳥目じゃない
って
って、そうじゃなくて、
あなたが、ここのご主人？

","
I'm telling youuuu,
I'm not night-blind.
...Right, so what I meant to say was,
are you the owner of this house?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Patchouli

","
お嬢様になんの用？

","
What do you need from the mistress?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
霧の出しすぎで、困る

","
There's too much mist outside. It's a problem.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Patchouli

","
じゃぁ、お嬢様には絶対会わせ
ないわ

","
Then I absolutely cannot allow you to
see the mistress.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
邪魔させないわ

","
I won't let you stop me.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Patchouli

","
・・・ところで、あんた、誰？

","
...By the way, just who are you?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Patchouli Knowledge DEFEATED

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
それにしてもこの館って、外から
見て、こんなに広かったっけ？

","
But really, did the mansion look
this big from the outside?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Patchouli

","
家には空間をいじるのが好きな人が
いるのよ

","
There is someone in the mansion who likes to mess
with space.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
紅い月に瀟洒な従者を

","
An Elegant Servant for the Scarlet Moon

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
BGM: メイドと血の懐中時計

","
BGM: The Maid and the Pocket Watch of Blood

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Sakuya Izayoi ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
???

","
あー、お掃除が進まない！
お嬢様に怒られるじゃない！！

","
Ah, the cleaning isn't getting anywhere!
The mistress will be angry with me!!

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Sakuya Izayoi LEAVES

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
Sakuya Izayoi ENTERS

",,Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
???

","
また、お掃除の邪魔する～

","
You're getting in the way of my cleaning again...

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
あなたー
は、ここの主人じゃなさそうね

","
You...
don't seem to be the owner.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
","
紅魔館のメイド
十六夜 咲夜

","
Maid of the Scarlet Devil Mansion
Sakuya Izayoi

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Sakuya

","
なんなの？
お嬢様のお客様？

","
What is it?
Are you a guest of the mistress?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
（倒しに来たってっても通してくれ
ないよな）

","
(She probably won't let me pass if I tell her
that I came to defeat her mistress.)

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Sakuya

","
通さないよ
お嬢様は滅多に人に会うような
ことはないわ

","
You may not pass.
The mistress rarely meets
with people.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
軟禁されてるの？

","
Is she under house arrest?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Sakuya

","
お嬢様は暗いところが好きなのよ

","
My mistress likes dark places.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
暗くないあなたでもいいわ
ここら辺一帯に霧を出してるの
あなた達でしょ？
あれが迷惑なの
何が目的なの？

","
Then a not-so-dark person like you will do.
You're the ones spreading this mist
all over the place, right?
It's a nuisance.
What are you trying to do?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Sakuya

","
日光が邪魔だからよ
お嬢様、冥い好きだし

","
Daylight is bothersome.
The mistress prefers the dark.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
私は好きじゃないわ
止めてくれる？

","
But I don't.
Would you stop it?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Sakuya

","
それはお嬢様に言ってよ

","
Ask the mistress yourself.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Reimu

","
じゃ呼んできて

","
Then call her here.

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
"
Sakuya

","
って、ご主人様を危険な目に
遭わせる訳無いでしょ？

","
And why would I place the mistress
in danger?

",Reimu,Scenario,Embodiment_of_Scarlet_Devil
