character,jp_dialogue,en_dialogue,route,act,game
<fix123>,"<c$???:$12345678> ""Yep, you're alone.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Clearly not!!""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""That aside, this sure is one shoddy shrine.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Shut it. This is how shrines are supposed to look.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""It's well-suited for ghost stories, no?<fix123><c$$12345678""> It'll cool you off.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Why would I want to do something as dumb as<fix123><c$$12345678""> listen to ghost stories told by a monster in broad daylight?""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""We can wait until night, if it's of any help.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Let's not.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""...So?""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Hm?""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""What's the story about?""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Well... Once upon a time, there was<fix123><c$$12345678""> a girl who lived for over 500 years...""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""And? Who was she?""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Me.""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""...Don't drink my blood, alright?""<fix123>",,Reimu,Endings,Th06
<fix123>,"　　Peace was working to envelop the illusory summer.<fix123>　　Slowly but steadily, like moss covering the rocks by the riverside...<fix123>",,Reimu,Endings,Th06
<fix123>,　　Ending No. 4<fix123>,,Reimu,Endings,Th06
<fix123>,　　The deserted shrine on a summer day.<fix123>　　A shrine still lacking the sun's brilliance.<fix123>,,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""I've had enough...<fix123><c$$12345678""> Will the mist not go away if I don't beat the culprit?""<fix123>",,Reimu,Endings,Th06
<fix123>,"<c$Reimu:$12345678> ""Why's it so cold, anyway?""<fix123>",,Reimu,Endings,Th06
<fix123>,　　Will the mist really disappear once she's taken down?<fix123>　　The scarlet summer of the ill-trained continued on.<fix123>,,Reimu,Endings,Th06
<fix123>,　　Bad Ending No. 1<fix123>　　Aim for a No Continue Clear on Normal or higher!<fix123>,,Reimu,Endings,Th06
<fix123>,"　　Gensokyo in the summer.<fix123>　　The sun had come back from its vacation,<fix123>　　wiping away all of the mist in the air. <fix123><fix123>　　Thus, it shamelessly brought the Scarlet Devil Mansion and its few windows to light...<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Ah, sheesh. It's so hot, and there's so much work...<fix123><c$$12345678""> This is why having the mist around was nice.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Ah, it's almost snack time...<fix123><c$$12345678""> Well, I can prepare it immediately if I stop time.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$???:$12345678> ""You done yet?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Yes, mistress, I'll be right there.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Sorry to keep you waiting.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""Thanks.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Today, we've got a rare tea from the Kandy region.""(キャンディー is most likely ""Kandy"" rather than ""candy"" in this context.)<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""Way too red for my tastes.""(Black tea is called ""red tea"" in Japanese (紅茶), as well as Chinese.)<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Not only that, the cake has some rare ingredients, too.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""...What'd ya put in there? (^^;""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Bamboo flowers, and such.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""They normally bloom once every 60 years,<fix123><c$$12345678""> but I can manipulate time to make them bloom immediately.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""Does that make it any tastier?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""It makes it a rarity.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Hey, what's with you acting as if you own the place?<fix123><c$$12345678""> And why are you eating my snack?!""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""'Cause it's yours.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Ah, I prepared some for you too, mistress.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""What's on the menu today?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""A rarity.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Yay, it's my favorite!""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""Well, ain't you a picky eater. (sweat)""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""...Anyway, it sure is hot out today, huh?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Oh, look who's talking. The mist made it cooler,<fix123><c$$12345678""> but you made me get rid of it!""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""...Felt like a good idea back then.""<fix123>",,Marisa,Endings,Th06
<fix123>,"　　Today, too, the summer-colored fantasy brought time to a peaceful halt.<fix123>　　One can only wonder if its flow will ever resume.<fix123>",,Marisa,Endings,Th06
<fix123>,　　Ending No. 5<fix123>,,Marisa,Endings,Th06
<fix123>,"　　Gensokyo in the summer.<fix123>　　The sun had come back from its vacation,<fix123>　　wiping away all of the mist in the air. <fix123><fix123>　　Thus, it shamelessly brought the Scarlet Devil Mansion and its few windows to light...<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""...""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> "".....""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""Hmm...""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""...Well, this might be pretty interestin'.<fix123><c$$12345678""> I don't get a lot of it, though, 'cause it's in Esperanto.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$???:$12345678> ""What, you're here again?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""I ain't.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Don't come in here to read without permission.<fix123><c$$12345678""> That counts as trespassing.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""I come here all the time, so why don't you just<fix123><c$$12345678""> go ahead and serve me some gross tea?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""We only have good tea, I'm afraid.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""And besides, books are meant to be read, right?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Can you even read that one?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$???:$12345678> ""Heeey, Sakuya? Where are you?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Ah, the mistress is calling.<fix123><c$$12345678""> Hide for a moment.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""I'm right here, mistress!""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Oh, there you are. Are you cleaning?""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Yes, of course.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""I'm going out for a bit. Please take care of the mansion while I'm gone.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Make sure to take your parasol with you.<fix123><c$$12345678""> It's really sunny today.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Of course. I'd be risking my life otherwise.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""That aside, the library really smells of rats.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Ah, don't worry about that.<fix123><c$$12345678""> Certainly, it might smell like dead rats,<fix123><fix123><c$$12345678""> but I assure you there are no dead rats here.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Remilia:$12345678> ""Well, clean it up either way. Bye.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Take care, mistress.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Sakuya:$12345678> ""Now then, there's a live rat to take care of.""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""You talkin' about me?""<fix123>",,Marisa,Endings,Th06
<fix123>,"　　The fantastic mansion showed no changes.<fix123>　　And yet, the summer breeze seemed like it wanted to make some.<fix123>",,Marisa,Endings,Th06
<fix123>,　　Ending No. 6<fix123>,,Marisa,Endings,Th06
<fix123>,　　Inside the gloomy forest.<fix123>　　A forest to which the sun had not yet returned.<fix123>,,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""Dammit, talk about frustratin'...<fix123><c$$12345678""> It's really not like me to lose to such a small fry...""<fix123>",,Marisa,Endings,Th06
<fix123>,"<c$Marisa:$12345678> ""Man, I really wanted to try saying something like that.""<fix123>",,Marisa,Endings,Th06
<fix123>,　　A dark summer. It seems like these sunless days will continue on for a while.<fix123>,,Marisa,Endings,Th06
<fix123>,　　Bad Ending No. 2<fix123>　　Aim for a No Continue Clear on Normal or higher!<fix123>,,Marisa,Endings,Th06
<fix123>,<fix123>夢幻夜行絵巻　～ Mystic Flier<fix123><fix123>,<fix123>Fantastic Night Parade Scroll ~ Mystic Flier<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>BGM: ほおずきみたいに紅い魂<fix123><fix123>,<fix123>BGM: A Soul as Scarlet as a Ground Cherry<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>久々のお仕事だわ。[1]<fix123><fix123>,<fix123>It's been a while since my last job.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>気持ちいいわね<fix123>毎回、昼間に出発して悪霊が少ない<fix123>から、夜に出てみたんだけど．．．<fix123>どこに行っていいかわからないわ<fix123>暗くて<fix123>でも．．．<fix123>夜の境内裏はロマンティックね<fix123>（←のんき）<fix123><fix123>,"<fix123>It sure feels great out.<fix123>There aren't many evil spirits about<fix123>during the day, so I'm trying my luck at night...<fix123>But it's dark out, and<fix123>I'm not sure where to go.<fix123>Still...<fix123>It's so romantic out behind the shrine at night.<fix123>(← carefree)<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Rumia ENTERS<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>???<fix123><fix123>,<fix123>そうなのよね～<fix123>お化けも出るし、たまんないわ<fix123><fix123>,"<fix123>You said it!<fix123>Monsters come out too, so it's simply wonderful.[2]<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>って、<fix123>あんた誰？<fix123><fix123>,"<fix123>Um,<fix123>who are you?<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>宵闇の妖怪<fix123>ルーミア<fix123><fix123>,<fix123>The Youkai of the Dusk<fix123><fix123>Rumia<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Rumia<fix123><fix123>,<fix123>さっき会ったじゃない<fix123>あんた、もしかして鳥目？<fix123><fix123>,<fix123>We just meet a few moments ago.<fix123>Could you be night-blind?<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>人は暗いところでは物が<fix123>良く見えないのよ<fix123><fix123>,<fix123>Humans can't see very well<fix123>in the dark in the first place.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Rumia<fix123><fix123>,<fix123>あら？夜しか活動しない人も<fix123>見たことある気がするわ<fix123><fix123>,<fix123>Oh? I feel like I've seen people<fix123>who only work at night.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>それは取って食べたりしても<fix123>いいのよ<fix123><fix123>,<fix123>I have no problem with you<fix123><fix123>grabbing them and eating them for dinner.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Rumia<fix123><fix123>,<fix123>そーなのかー<fix123><fix123>,<fix123>Ohhhh...Is that soooo...<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>で、邪魔なんですけど<fix123><fix123>,"<fix123>You know, you're in my way.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>BGM: 妖魔夜行<fix123><fix123>,<fix123>BGM: Apparitions Stalk the Night<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Rumia<fix123><fix123>,<fix123>目の前が取って食べれる人類？<fix123><fix123>,<fix123>Is the person in front of me the edible kind?<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>良薬は口に苦し<fix123>って言葉知ってる？<fix123><fix123>,"<fix123>Have you ever heard the saying<fix123>""good medicine tastes bad""?<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Rumia DEFEATED<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>良薬っていっても<fix123>飲んでみなけりゃわかんないけどね<fix123><fix123>,"<fix123>Of course, you wouldn't know if it's good medicine or not<fix123>unless you drank it for yourself.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>湖上の魔精　～ Water Magus<fix123><fix123>,<fix123>Nixie on the Lake ~ Water Magus<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>BGM: ルーネイトエルフ<fix123><fix123>,<fix123>BGM: Lunate Elf<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Daiyousei ENTERS<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Daiyousei DEFEATED<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>この湖こんなに広かったかしら？<fix123>霧で見通しが悪くて困ったわ。<fix123>もしかして私って方向音痴？<fix123><fix123>,<fix123>Was this lake always this big?<fix123>This mist is annoying. I can't see through it.<fix123>Maybe I just have a bad sense of direction?<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Cirno ENTERS<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>BGM: おてんば恋娘<fix123><fix123>,<fix123>BGM: Tomboyish Girl in Love<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>湖上の氷精<fix123>チルノ<fix123><fix123>,<fix123>Ice Fairy of the Lake<fix123>Cirno<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Cirno<fix123><fix123>,<fix123>道に迷うは、妖精の所為なの<fix123><fix123>,"<fix123>When you lose your way, it's because of the fairies.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>あらそう？、じゃ、案内して？<fix123>ここら辺に島があったでしょ？<fix123><fix123>,"<fix123>Oh, really? Could you show me the way, then?<fix123>There was an island around here, right?<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Cirno<fix123><fix123>,<fix123>あんた、ちったぁ驚きなさいよ<fix123>目の前に強敵がいるのよ？<fix123><fix123>,"<fix123>Hey, be a bit more surprised.<fix123>Can't you see I'm your attacker?<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>標的？<fix123>こいつはびっくりだぁね<fix123><fix123>,<fix123>You're a target?<fix123>Now that is a surprise. [3]<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Cirno<fix123><fix123>,<fix123>ふざけやがって～<fix123>あんたなんて、英吉利牛と一緒に<fix123>冷凍保存してやるわ！！<fix123><fix123>,<fix123>Quit teasing me!<fix123>I'll deep-freeze you with some<fix123>English beef!!<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Cirno DEFEATED<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>ああ、冷えてきたわ<fix123>冷房病になっちゃうわ<fix123><fix123>,"<fix123>Ah, it's gotten chilly out.<fix123>I'll catch an air conditioner cold at this rate.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>紅色の境　～ Scarlet Land<fix123><fix123>,<fix123>Scarlet Border ~ Scarlet Land<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>BGM: 上海紅茶館　～ Chinese Tea<fix123><fix123>,<fix123>BGM: Shanghai Scarlet Teahouse ~ Chinese Tea<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Hong Meiling ENTERS<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>???<fix123><fix123>,<fix123>くそ、背水の陣だ[4]<fix123><fix123>,<fix123>Damn. Time for my last stand combat formation!<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>あんた一人で「陣」なのか？<fix123><fix123>,<fix123>You're going to set up a formation all by yourself?<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Hong Meiling LEAVES<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Hong Meiling ENTERS<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>???<fix123><fix123>,<fix123>ついてくるなよ～<fix123><fix123>,<fix123>Stop following meeee.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>道案内ありがと～<fix123><fix123>,<fix123>Thanks for showing me the wayyyy.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>華人小娘<fix123>紅 美鈴<fix123><fix123>,<fix123>Chinese Girl<fix123>Hong Meiling<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Meiling<fix123><fix123>,<fix123>あら、私について来ても<fix123>こっちには何もなくてよ？<fix123><fix123>,"<fix123>You know, you can follow me all you want,<fix123>but there's nothing over there.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>何もないところに逃げないでしょ？<fix123><fix123>,"<fix123>You wouldn't flee to the middle of nowhere, right?<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Meiling<fix123><fix123>,<fix123>うーん、逃げるときは逃げる<fix123>と思うけどなぁ<fix123><fix123>,"<fix123>Well, if I was running away,<fix123>I probably wouldn't be picky about where.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>ちなみに、あなた、何者？<fix123><fix123>,"<fix123>By the way, who are you?<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Meiling<fix123><fix123>,<fix123>えー、普通の人よ<fix123><fix123>,"<fix123>Er, just a normal person.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>さっき攻撃仕掛けてきたでしょ？<fix123><fix123>,<fix123>But didn't you attack me before?<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Meiling<fix123><fix123>,<fix123>それは、普通に攻撃したの<fix123>でも、あんたが先に攻撃したのよ<fix123>あんたが、普通以外なのよ<fix123><fix123>,<fix123>I attacked normally.<fix123>But you attacked me first.<fix123>You're the one who's abnormal.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>私は巫女をしている普通の人よ<fix123><fix123>,<fix123>I'm just a normal person who works as a shrine maiden.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Meiling<fix123><fix123>,<fix123>それはよかった<fix123>たしか．．．<fix123><fix123>,<fix123>That's good to hear.<fix123>If I remember correctly...<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>BGM: 明治十七年の上海アリス<fix123><fix123>,<fix123>BGM: Shanghai Alice of Meiji 17[5]<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Meiling<fix123><fix123>,<fix123>巫女は食べてもいい人類だって<fix123>言い伝えが．．．<fix123><fix123>,<fix123>...they say that shrine maidens<fix123>are the kind of human it's okay to eat...<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>言い伝えるな！<fix123><fix123>,<fix123>Don't spread sayings like that!<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>Hong Meiling DEFEATED<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>If playing the demo<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>さぁて、道案内してもらいますよ<fix123><fix123>,"<fix123>Well then, I'll have you show me the way.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Meiling<fix123><fix123>,<fix123>これ以上先は、無いの<fix123>体験版だから<fix123><fix123>,<fix123>There's no more past this.<fix123>Since this is the demo.<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>まぁ、仕方ないわね<fix123><fix123>,"<fix123>Oh well, that's too bad.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>If playing the full version<fix123><fix123>,,Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Reimu<fix123><fix123>,<fix123>さぁて、道案内してもらいますよ<fix123><fix123>,"<fix123>Well then, I'll have you show me the way.<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>Meiling<fix123><fix123>,<fix123>済みません、お嬢様～<fix123><fix123>,"<fix123>I'm so sorry, mistress...[6]<fix123><fix123>",Reimu,Scenario,Embodiment_of_Scarlet_Devil
<fix123>,<fix123>暗闇の館　～ Save the mind.<fix123><fix123>,<fix123>Mansion of Darkness ~ Save the Mind<fix123><fix123>,Reimu,Scenario,Embodiment_of_Scarlet_Devil
