"CHARACTER","EN_DIALOGUE","ROUTE","ACT","GAME"
"Marisa","""Well, fine.
 Clinging to cherry blossoms even after one's death...

 That's really pathetic, isn't it.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""So what was the point of it all?
 Did I learn that my own home is best?""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Oh, the cherry petals will stop falling
 once the black thing goes home, Youmu.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""They will definitely keep falling.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Shall we give it a try, then?""","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""If I return home, who'll confirm the outcome?""","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""I will, naturally.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""That's not a fair gamble.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""No one said we were making a bet.
","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""If you stay, they will fall.
 If you leave, you won't be around to see it happen.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""This is a checkmate.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""Who said I was riding on the bet?""","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Dunno.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""Besides, this is no checkmate.
","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Everything is an indication that you should go home.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""... Every time.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""... After these feasts.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""... I'm stuck with cleanup duty.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""... Should I rebel?""","Marisa","Endings","Perfect_Cherry_Blossom"
"????","""Whoa, what a filthy garden.
 I came all the way here just to see this, too.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""We're already closed.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""As promised, I'm here for the flower viewing.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Reimu","""Marisa was right, these cherry blossoms are wonderful.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""Promised?""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""And since when did you two become ghosts?""","Marisa","Endings","Perfect_Cherry_Blossom"
"Reimu","""It's easy enough to come here without dying.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""Eh? But there's the barrier.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""It disappeared as soon as Reimu touched it.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""So don't touch it.
 That applies especially to people like her.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"????","""Oh? Haven't you finished cleaning yet?""","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Youmu, finish cleaning as soon as possible.
 We have some honoured guests today.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""Guests? Lady Yuyuko, you don't mean...""","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""Us, of course.
 In your face!""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Ah, you're already here.
","Marisa","Endings","Perfect_Cherry_Blossom"
"Reimu","""It's nice to be invited, but...
 I didn't want to be invited by a ghost.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Anyway, Youmu, we're hosting a flower viewing feast today.
","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""I've brought some Tuchigumo Sake.
 C'mon, we'll be celebrating all night long.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Yawnn~...""","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""'The dream of breezy spring that made the cherry branches shake
 Continues now to haunt me even as I am awake.'""(Reference to a real Saigy? poem.)
","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""Oh, good morning, mistress.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""I had an ominous dream...
","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""A black spring wind?""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""Aha, I bet you're referring to her.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""Good morning, glad to see you're awake.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Ah, you're still here.
 Spring has arrived in your world as well,

 why don't you go back?""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""You're so direct.
 I am a rare and honoured human guest here.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""She says that your presence is causing
 our cherry petals to be blown away.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Marisa","""They'll be blown away whether I'm here or not.
 I'm sure of it.""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Yuyuko","""Wow, excellent.
 That's as good as being revived!""
","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""... You don't say.""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","""Would you rather clean up after the fallen petals?""","Marisa","Endings","Perfect_Cherry_Blossom"
"Youmu","All these phantoms...""
","Marisa","Endings","Subterranean_Animism"
"Aya","""But now I have no idea where she is or what she's doing.
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""I'm the social awareness type, thank you very much.""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""Sure, but... you don't know where she is, right?""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""Don't worry, there's a way.
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","There was a hint in the season I equipped.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""Th-There's a door on your back!?""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""Looks like she got away.
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","Those back doors are a real pain. She can run to anywhere she wants.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""Maybe I should have beat her faster?
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","Next I need the perfect countermeasure before I try again.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""So you're sure she said she was a god of impairments?""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""Right. I thought it was a serious matter.""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""Hmm... well that IS a disturbing story.""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""If whoever this is gathered faith and showed herself,
she might have been trying to get rid of the tengu,
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","and if she shows up personally, that itself might be for the purpose of causing the tengu's downfall...""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""No, she didn't seem THAT hostile.
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","Although it is true that she acted like meeting me was an inconvenience.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""But still, it's not every day you consult with me about anything.""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""At first I was merely investigating the season incident,
but if the threat to the tengu is real, then I can't put this in an article.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""And there it is, concealing the truth for your own convenience.""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""But aren't I being the very model of a reporter?
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","If I'm not writing an article, then I'm free to consult with whoever I wish.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""Don't beat around the bush, you just want my thoughtography power.""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""Well of course I do.
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","Actually, I fought the mastermind, but unfortunately I lost.
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","I'd been caught in her trap from the beginning, allowing her to take away all my weapons.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Aya","""And at the very end when I was at my wit's end,
she got away before I realized what was happening.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","""This is rare. So she made even a battle-type like you cry uncle?""","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Hatate","Which is where you come in. With your thoughtography, I could get a lead on her.""
","Aya","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""All right! At last, I'm now the strongest!""","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","I'm gonna try fighting her!""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Larva","""So what kinds of people did you beat?""","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""This lady with a big hatchet...
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","and a dog at the shrine, I think... and this girl with a wide hat...
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","and, uh... what was after that again?""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""All my memories after that are fuzzy.
I think there were a lot of doors...?""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Larva","""Wow! You're duuuuuumb!""","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""Maybe it's the heat making me dumb...
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","...Huh? Hey! Look at your back!""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""What's with this door thing on your back!?""","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Larva","""Ew! Creepy!""","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""But this door... I feel like I've... Ugh, my head...""","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""Oh, I remember now!
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","I met some weird people in a world full of doors.""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Larva","""Weird people?""","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""Like these weird dancers, and this lady who was so lazy she fought in a chair.
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","I feel like I fought them, but...
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","It's so weird, that's where my memories get all fuzzy.""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Larva","""Hmph, so you lost then?""","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""H-How could I lose!?
I'm the strongest!""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""Another great, sunny day!
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","The summer sunlight is marking my skin, huh?""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""Wait, huh? Summer sunlight...?
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","Didn't I used to hate it when it was hot?
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","Since when was I okay with heat?""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""Well, whatever. It just means I conquered my weakness!
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","Meaning it's pushed me to be the strongest!
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","I'm all fired up now! Now I kinda wanna go test my strongestness!""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Cirno","""Oh perfect timing, there's a fairy over there!
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Larva","""Wow! Amazing!
Well, you did beat ME, after all!""
","Cirno","Endings","Hidden_Star_in_Four_Seasons"
"Larva","I just thought it was strange.""
","Marisa","Endings","Double_Dealing_Character"
"Reimu","""W-Worrying? What...?
","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Of course, you didn't use your purification rod, did you?""","Marisa","Endings","Double_Dealing_Character"
"Reimu","""N-No. Of course I didn't.
","Marisa","Endings","Double_Dealing_Character"
"Reimu","Why would I ever use a tsukumogami tool?""
","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Well, I figured out how to return it to normal.""","Marisa","Endings","Double_Dealing_Character"
"Reimu","""Really?""","Marisa","Endings","Double_Dealing_Character"
"Reimu","""And that's...?""","Marisa","Endings","Double_Dealing_Character"
"Marisa","""The Miracle Mallet.
","Marisa","Endings","Double_Dealing_Character"
"Marisa","The so-called granter of any wish.""
","Marisa","Endings","Double_Dealing_Character"
"Reimu","""I meant the other one.""","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Oh, she's its former owner.""","Marisa","Endings","Double_Dealing_Character"
"Shinmyoumaru","(Mmm, mmph...)
","Marisa","Endings","Double_Dealing_Character"
"Reimu","""I give up. How did you get something like that...?""","Marisa","Endings","Double_Dealing_Character"
"Marisa","""This girl was the culprit.
","Marisa","Endings","Double_Dealing_Character"
"Marisa","Miracle Mallet is a fancy-sounding name, but...
","Marisa","Endings","Double_Dealing_Character"
"Marisa","Fact is, it's just another tool of oni.
","Marisa","Endings","Double_Dealing_Character"
"Marisa","It's a cursed tool.""
","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Huh, not too shabby.
","Marisa","Endings","Double_Dealing_Character"
"Marisa","I may just ally with them after all...""
","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Argh, this is no good!
","Marisa","Endings","Double_Dealing_Character"
"Marisa","Without my mini-hakkero, I don't stand a chance...""
","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Ohoho... Turn the world on its head, huh...""","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Doesn't sound so bad...""","Marisa","Endings","Double_Dealing_Character"
"Marisa","""The era of humans living in fear of youkai is done.
","Marisa","Endings","Double_Dealing_Character"
"Marisa","From now on, humans are gonna rule.
","Marisa","Endings","Double_Dealing_Character"
"Marisa","I'll fear nothin' when I have this mini-hakkero!""
","Marisa","Endings","Double_Dealing_Character"
"Seija","""Now, human, use it to your heart's content!""","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Don't need to tell me twice!
","Marisa","Endings","Double_Dealing_Character"
"Marisa","Though the consumption's not so good...""
","Marisa","Endings","Double_Dealing_Character"
"Seija","""Never fear.
","Marisa","Endings","Double_Dealing_Character"
"Seija","Your mini-hakkero has the treasure's protection.""
","Marisa","Endings","Double_Dealing_Character"
"Seija","""It can always receive phantasmal power!""","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Hmm. Well, I'll give it a shot, then.""","Marisa","Endings","Double_Dealing_Character"
"Seija","""Heh heh... I've made a powerful ally.
","Marisa","Endings","Double_Dealing_Character"
"Seija","Turning the world upside-down is just a matter of time!""
","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Huh, so you were worrying too.""","Marisa","Endings","Double_Dealing_Character"
"Marisa","""Well, yeah, it is strange for things to move on their own.""","Marisa","Endings","Double_Dealing_Character"
"Sakuya","""Yes, of course.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""Oh, there you are. Are you cleaning?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Make sure to take your parasol with you.
 It's really sunny today.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""Of course. I'd be risking my life otherwise.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""That aside, the library really smells of rats.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Ah, don't worry about that.
 Certainly, it might smell like dead rats,

 but I assure you there are no dead rats here.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""Well, clean it up either way. Bye.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Take care, mistress.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Now then, there's a live rat to take care of.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""You talkin' about me?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""Dammit, talk about frustratin'...
 It's really not like me to lose to such a small fry...""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""Man, I really wanted to try saying something like that.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Ah, sheesh. It's so hot, and there's so much work...
 This is why having the mist around was nice.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Ah, it's almost snack time...
 Well, I can prepare it immediately if I stop time.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"???","""You done yet?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Yes, mistress, I'll be right there.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Sorry to keep you waiting.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""Thanks.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Today, we've got a rare tea from the Kandy region.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""Way too red for my tastes.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Not only that, the cake has some rare ingredients, too.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""...What'd ya put in there? (^^;""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Bamboo flowers, and such.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""They normally bloom once every 60 years,
 but I can manipulate time to make them bloom immediately.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""Does that make it any tastier?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""It makes it a rarity.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""Hey, what's with you acting as if you own the place?
 And why are you eating my snack?!""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""'Cause it's yours.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Ah, I prepared some for you too, mistress.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""What's on the menu today?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""A rarity.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""Yay, it's my favorite!""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""Well, ain't you a picky eater. (sweat)""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""...Anyway, it sure is hot out today, huh?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""Oh, look who's talking. The mist made it cooler,
 but you made me get rid of it!""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""...Felt like a good idea back then.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""...""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa",""".....""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""Hmm...""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""...Well, this might be pretty interestin'.
 I don't get a lot of it, though, 'cause it's in Esperanto.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"???","""What, you're here again?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""I ain't.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Don't come in here to read without permission.
 That counts as trespassing.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""I come here all the time, so why don't you just
 go ahead and serve me some gross tea?""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""We only have good tea, I'm afraid.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Marisa","""And besides, books are meant to be read, right?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Can you even read that one?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"???","""Heeey, Sakuya? Where are you?""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""Ah, the mistress is calling.
 Hide for a moment.""
","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Sakuya","""I'm right here, mistress!""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","""I'm going out for a bit. Please take care of the mansion while I'm gone.""","Marisa","Endings","Embodiment_of_Scarlet_Devil"
"Remilia","and got away in the confusion.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""So anyways, she took all that magic power,
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""Hmm, no matter what I did, I was no match for her.
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","In order to win, I need more information.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""Back doors, back doors...
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","Guess all I can do is find one and jump in.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Narumi","""Whoa... I can't believe it was that spacious through the door in my back.""","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""It was real bad in there.
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","It was crawlin' with all these creepy people.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""It seemed like they could move 'round by creatin' magic doors on people's backs.
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","By the way, the person makin' the doors had a crazy amount of magic power.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Narumi","""What's with that? What a weird way to attack.""","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Narumi","""So why was it snowing in the Forest of Magic then?""","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""I hear it was 'cause the fairies with doors on 'em were goin' berserk.
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","And I guess the fairies in the Forest of Magic are attuned with winter?""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Narumi","""So do you think the fairies will settle down now?""","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""To be honest, no clue.
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","Reason for that being that she got away.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Narumi","""Seriously? You let her get away? Laaame.""","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""Shut up.
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","That back door turned out to be a trap.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""Looks like I had one on my back, too.
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","I knew I was usin' some different magic from my back,
but it seems that was her power.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Marisa","""And there I was,
diligently gatherin' power for her like an idiot.""
","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Narumi","""That's a pretty clever way of gathering magic.""","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Narumi","""But what could she've been after...?""","Marisa","Endings","Hidden_Star_in_Four_Seasons"
"Narumi","but it is a disappointment that you failed.""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","""Because of that, the only one who merrily took it was you,
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","""As you said, I took the elixir, but I didn't use it.""","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","""Huh?""","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","""Then, you didn't use it, attacked the Lunar Capital,
lost, and fled back?""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","""I didn't flee! I kept goin' till the end.""","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","""Weren't you happy to receive the elixir?
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","What was that about, then!?""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","""See, that was because I obtained a rare item.
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","It entered my collection as a treasure.
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","It'd've been a waste to use it.""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","""Haaah, Master, humans are doomed.
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","This isn't even worth talking about.
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","Now, it looks like I have no choice but to go myself...""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","""What's this? If you can go yourself,
then ya should've gone yourself from the start.""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Reisen","""But I don't want to use that elixir!""","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","""Well, it's amazin' that I'm alive.
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","It turns out that there were some strong enemies in the Lunar Capital.
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","Although, it looks like thanks to me, the capital was saved.""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","""It turns out I was just the moon peoples' pawn.
Even thinkin' about this is annoyin'.""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","""But I learned somethin' very important from Sagume.
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","The reason urban legends came alive,
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
"Marisa","is because of this thing's power.""
","Marisa","Endings","Legacy_of_Lunatic_Kingdom"
